cell,variant,seed,target,budget,ttt_cpu,ttt_it,cpu,iters,best,wall
"K8(9,4)",p5,7,10800,100,3.1912,28,3.191,28,10785,3.19
"K6(8,4)",p5b,5,20,90,0.8774,616,0.877,616,20,0.88
"K8(9,4)",p5b,14,10800,100,1.9669,30,1.967,30,10797,1.97
"K6(8,4)",p5b+wide,15,20,90,1.3485,925,1.348,925,20,1.35
"K8(9,4)",p5b,15,10800,100,2.3054,33,2.305,33,10778,2.31
"K6(6,3)",p5b+wide,20,30,45,11.1804,164589,11.18,164589,30,11.18
"K6(6,3)",p5+wide,2,30,45,1.5989,23667,1.599,23667,30,1.6
"K6(6,3)",p5b+wide,8,30,45,1.4286,20700,1.429,20700,30,1.43
"K6(8,4)",p5b,6,20,90,0.5316,364,0.532,364,20,0.53
"K6(6,3)",p5b,18,30,45,0.5154,7103,0.515,7103,29,0.52
"K6(6,3)",p5b+wide,10,30,45,8.5027,123003,8.503,123003,27,8.5
"K6(6,3)",p5+fix0,5,30,45,1.6245,23916,1.625,23916,30,1.62
"K6(6,3)",p5b+wide,2,30,45,1.647,23667,1.647,23667,30,1.65
"K6(8,4)",p5+ucache,15,20,90,0.895,552,0.895,552,20,0.9
"K6(6,3)",p5b,15,30,45,1.3352,19748,1.335,19748,29,1.34
"K8(9,4)",p5b,8,10800,100,2.0025,29,2.003,29,10790,2.0
"K6(6,3)",p5+upick,15,30,45,-1.0,-1,45.001,536240,59,46.36
"K6(6,3)",p5+fix0,17,30,45,0.3633,5378,0.363,5378,30,0.36
"K6(8,4)",p5b+wide,18,20,90,0.5594,386,0.559,386,20,0.56
"K6(6,3)",base,5,30,45,1.1367,7962,1.137,7962,29,1.14
"K6(8,4)",p5,19,20,90,1.5578,912,1.558,912,20,1.56
"K6(8,4)",p5b+wide,5,20,90,0.5315,371,0.532,371,20,0.53
"K6(8,4)",p5+fix0,1,20,90,1.911,1143,1.911,1143,20,1.91
"K6(6,3)",base,16,30,45,0.156,1105,0.156,1105,30,0.16
"K6(6,3)",p5+wide,18,30,45,6.3107,94750,6.311,94750,30,6.31
"K6(6,3)",p5,3,30,45,0.5506,7866,0.551,7866,30,0.55
"K6(6,3)",p5b,8,30,45,2.9345,43238,2.934,43238,30,2.93
"K8(9,4)",base,13,10800,100,29.352,29,29.352,29,10789,30.9
"K8(9,4)",p5b+wide,7,10800,100,1.6114,24,1.611,24,10762,1.61
"K6(6,3)",p5+ucache,15,30,45,0.7025,10151,0.702,10151,29,0.7
"K6(6,3)",p5+wide,6,30,45,1.7114,25148,1.711,25148,29,1.71
"K6(6,3)",p5+upick,3,30,45,-1.0,-1,45.001,541904,37,48.04
"K6(8,4)",p5,5,20,90,1.0417,616,1.042,616,20,1.04
"K6(6,3)",p5+ucache,19,30,45,3.9469,55013,3.947,55013,30,3.95
"K6(8,4)",base,17,20,90,6.8075,751,6.807,751,20,6.81
"K6(6,3)",p5+upick,13,30,45,10.9281,130617,10.928,130617,30,10.93
"K6(8,4)",p5+fix0,13,20,90,0.8474,486,0.847,486,20,0.85
"K6(6,3)",p5b,11,30,45,0.8258,11756,0.826,11756,26,0.83
"K6(8,4)",base,20,20,90,3.5582,381,3.558,381,20,3.56
"K6(6,3)",p5+fix0,8,30,45,3.8333,58437,3.833,58437,30,3.83
"K6(6,3)",p5,1,30,45,0.7754,11246,0.775,11246,30,0.78
"K6(6,3)",p5+fix0,9,30,45,1.244,19009,1.244,19009,29,1.24
"K6(8,4)",p5,11,20,90,0.5453,327,0.545,327,20,0.55
"K6(8,4)",p5b+wide,10,20,90,0.5612,389,0.561,389,20,0.56
"K6(8,4)",base,8,20,90,2.8636,310,2.864,310,20,2.87
"K6(6,3)",p5+wide,5,30,45,5.1936,79246,5.194,79246,30,5.19
"K8(9,4)",p5b+wide,5,10800,100,2.4963,22,2.496,22,10765,2.53
"K6(8,4)",base,15,20,90,7.4836,761,7.484,761,20,8.15
"K6(8,4)",p5+wide,4,20,90,0.5523,323,0.552,323,20,0.55
"K8(9,4)",p5,8,10800,100,5.8019,29,5.802,29,10790,5.9
"K6(6,3)",p5+fix0,3,30,45,0.4422,6525,0.442,6525,28,0.44
"K6(8,4)",p5b,3,20,90,0.8536,526,0.854,526,19,0.85
"K6(8,4)",p5,12,20,90,0.8164,435,0.816,435,20,0.84
"K6(6,3)",p5,17,30,45,0.4662,6721,0.466,6721,30,0.48
"K6(8,4)",p5+upick,16,20,90,6.3026,3396,6.303,3396,20,6.75
"K8(9,4)",base,6,10800,100,37.8028,31,37.803,31,10782,39.37
"K6(6,3)",p5b+wide,17,30,45,1.6692,24788,1.669,24788,30,2.18
"K6(8,4)",p5+ucache,8,20,90,0.9985,560,0.998,560,20,1.0
"K6(6,3)",base,2,30,45,1.4347,9833,1.435,9833,30,1.79
"K6(6,3)",p5b,10,30,45,0.878,12094,0.878,12094,29,0.89
"K8(9,4)",p5b,10,10800,100,3.327,28,3.327,28,10794,4.08
"K6(8,4)",p5+upick,13,20,90,1.6735,877,1.673,877,20,1.68
"K6(8,4)",p5+wide,5,20,90,0.7258,371,0.726,371,20,0.73
"K8(9,4)",p5b,17,10800,100,3.6494,31,3.649,31,10778,3.73
"K6(8,4)",p5b+wide,6,20,90,1.8332,1157,1.833,1157,20,1.84
"K8(9,4)",p5,17,10800,100,6.1253,31,6.125,31,10778,6.23
"K6(8,4)",p5+ucache,7,20,90,1.3103,680,1.31,680,20,1.32
"K6(6,3)",p5+ucache,1,30,45,0.9538,13748,0.954,13748,29,0.97
"K8(9,4)",p5,13,10800,100,6.0146,29,6.015,29,10789,7.1
"K6(8,4)",base,13,20,90,6.8919,684,6.892,684,20,6.99
"K6(6,3)",p5+wide,1,30,45,1.1136,16425,1.114,16425,29,1.14
"K6(8,4)",p5+upick,9,20,90,2.8398,1551,2.84,1551,19,2.87
"K6(6,3)",p5+ucache,8,30,45,0.5229,7294,0.523,7294,30,0.53
"K8(9,4)",p5b,11,10800,100,3.1473,28,3.147,28,10794,3.22
"K6(8,4)",base,11,20,90,3.3305,327,3.33,327,20,3.42
"K6(6,3)",p5b,12,30,45,1.5984,23762,1.598,23762,30,1.68
"K8(9,4)",p5b+wide,1,10800,100,3.0421,23,3.042,23,10778,4.11
"K8(9,4)",p5,2,10800,100,5.4392,28,5.439,28,10793,5.63
"K6(6,3)",p5+upick,6,30,45,-1.0,-1,45.0,537360,58,48.96
