cell,variant,seed,target,budget,ttt_cpu,ttt_it,cpu,iters,best,wall
"K6(6,3)",p5+upick,4,30,45,-1.0,-1,45.001,520576,48,187.4
"K8(9,4)",p5b+wide,9,10800,100,4.5042,22,4.504,22,10779,27.58
"K6(6,3)",p5+upick,2,30,45,24.954,289083,24.954,289083,28,83.94
"K6(8,4)",p5+ucache,11,20,90,1.1034,561,1.103,561,20,1.12
"K6(6,3)",base,20,30,45,0.8759,6125,0.876,6125,28,0.88
"K6(8,4)",p5+wide,19,20,90,1.35,653,1.35,653,20,1.38
"K6(6,3)",p5+wide,11,30,45,9.0123,130684,9.012,130684,30,31.9
"K8(9,4)",p5b+wide,18,10800,100,3.4394,24,3.439,24,10764,8.46
"K6(6,3)",p5+wide,19,30,45,0.4195,5869,0.42,5869,27,1.39
"K6(8,4)",p5+ucache,19,20,90,3.2335,1308,3.233,1308,20,13.74
"K6(6,3)",p5+fix0,1,30,45,5.5516,84534,5.552,84534,30,14.74
"K6(8,4)",p5+fix0,7,20,90,1.5446,514,1.545,514,20,10.39
"K8(9,4)",p5,5,10800,100,7.0756,30,7.076,30,10768,40.43
"K6(8,4)",base,6,20,90,7.4219,364,7.422,364,20,36.67
"K6(8,4)",p5+fix0,14,20,90,2.4731,837,2.473,837,20,15.68
"K6(6,3)",p5b+wide,12,30,45,0.8121,11209,0.812,11209,30,3.02
"K6(6,3)",p5b+wide,14,30,45,2.8218,39543,2.822,39543,30,17.94
"K6(6,3)",p5b+wide,4,30,45,3.7043,53050,3.704,53050,30,8.38
"K8(9,4)",base,9,10800,100,33.4304,31,33.43,31,10775,136.31
"K8(9,4)",p5,6,10800,100,7.5713,31,7.571,31,10782,41.63
"K6(8,4)",p5b,10,20,90,1.7189,988,1.719,988,20,11.78
"K6(8,4)",p5+upick,3,20,90,8.3758,3725,8.376,3725,18,28.28
"K6(8,4)",p5b+wide,8,20,90,0.9631,624,0.963,624,20,1.0
"K8(9,4)",p5+wide,8,10800,100,4.6796,22,4.68,22,10789,16.68
"K6(6,3)",p5b+wide,11,30,45,9.3178,130684,9.318,130684,30,36.49
"K6(8,4)",p5b+wide,3,20,90,0.5678,380,0.568,380,20,0.58
"K8(9,4)",p5b,19,10800,100,5.5759,30,5.576,30,10782,33.54
"K6(8,4)",p5+ucache,14,20,90,0.9668,354,0.967,354,19,4.95
"K6(8,4)",base,1,20,90,16.0321,966,16.032,966,20,62.26
"K8(9,4)",base,19,10800,100,31.109,30,31.109,30,10782,103.14
"K6(6,3)",p5+upick,5,30,45,-1.0,-1,45.001,526912,56,222.9
"K6(8,4)",p5+ucache,13,20,90,1.1369,504,1.137,504,20,2.87
"K8(9,4)",p5b,5,10800,100,4.7528,30,4.753,30,10768,21.47
"K6(8,4)",p5+ucache,10,20,90,0.5521,291,0.552,291,20,0.58
"K6(8,4)",p5,6,20,90,1.1174,364,1.117,364,20,6.6
"K8(9,4)",p5+wide,17,10800,100,5.19,21,5.19,21,10798,30.46
"K6(6,3)",p5+fix0,11,30,45,1.1166,15955,1.117,15955,29,7.05
"K8(9,4)",p5b+wide,3,10800,100,3.3559,22,3.356,22,10787,10.64
"K6(6,3)",p5b+wide,9,30,45,9.7132,140473,9.713,140473,30,31.02
"K8(9,4)",base,17,10800,100,33.7866,31,33.787,31,10778,124.55
"K6(8,4)",p5,9,20,90,2.0979,730,2.098,730,20,11.48
"K6(8,4)",p5+upick,2,20,90,9.3103,4336,9.31,4336,20,30.94
"K6(6,3)",base,19,30,45,1.4022,9509,1.402,9509,28,5.43
"K6(6,3)",p5+fix0,6,30,45,0.7044,9703,0.704,9703,28,4.78
"K6(6,3)",p5,10,30,45,0.8865,12094,0.887,12094,29,5.15
"K8(9,4)",p5b+wide,11,10800,100,4.3583,23,4.358,23,10798,22.2
"K6(8,4)",p5b,1,20,90,1.6866,966,1.687,966,20,8.54
"K8(9,4)",p5+wide,16,10800,100,5.0653,22,5.065,22,10790,22.98
"K8(9,4)",base,2,10800,100,29.8654,28,29.865,28,10793,123.84
"K6(8,4)",p5+fix0,3,20,90,3.0376,1175,3.038,1175,20,13.93
"K6(6,3)",base,11,30,45,1.7097,11756,1.71,11756,26,6.64
"K6(8,4)",p5+wide,16,20,90,2.01,931,2.01,931,20,4.41
"K6(8,4)",p5b+wide,16,20,90,1.41,931,1.41,931,20,1.9
"K8(9,4)",p5+wide,4,10800,100,4.5767,23,4.577,23,10775,15.53
"K6(6,3)",p5+wide,4,30,45,3.5794,53050,3.579,53050,30,6.58
"K6(6,3)",p5+wide,15,30,45,3.1181,44351,3.118,44351,30,13.36
"K6(6,3)",base,13,30,45,0.8613,5844,0.861,5844,30,3.35
"K6(8,4)",p5b,13,20,90,1.213,684,1.213,684,20,8.31
"K6(8,4)",p5+upick,18,20,90,5.2548,1833,5.255,1833,20,32.32
"K6(6,3)",p5+fix0,14,30,45,1.9526,28901,1.953,28901,30,3.25
"K6(6,3)",base,8,30,45,6.3912,43238,6.391,43238,30,31.23
"K6(8,4)",p5b,8,20,90,0.5408,310,0.541,310,20,3.55
"K6(6,3)",p5+ucache,17,30,45,0.3862,5382,0.386,5382,30,0.4
"K6(6,3)",p5b+wide,19,30,45,0.431,5869,0.431,5869,27,1.76
"K8(9,4)",p5+wide,12,10800,100,4.9783,23,4.978,23,10790,22.07
"K6(6,3)",p5b,7,30,45,0.5025,7111,0.502,7111,30,1.41
"K6(8,4)",p5,4,20,90,2.5374,866,2.537,866,20,14.68
"K6(8,4)",p5+fix0,12,20,90,2.0738,687,2.074,687,20,12.92
"K6(8,4)",p5,15,20,90,2.0682,761,2.068,761,20,9.16
"K6(8,4)",p5+wide,17,20,90,1.3224,434,1.322,434,20,8.37
"K6(6,3)",p5+upick,18,30,45,-1.0,-1,45.001,527328,37,212.04
"K6(8,4)",p5+upick,4,20,90,2.4058,923,2.406,923,20,8.74
"K6(6,3)",base,9,30,45,2.1194,14436,2.119,14436,30,8.39
"K6(6,3)",p5+wide,3,30,45,4.4083,65215,4.408,65215,30,11.43
"K6(6,3)",p5+upick,9,30,45,-1.0,-1,45.0,520544,44,218.84
"K8(9,4)",p5b,20,10800,100,3.8985,28,3.898,28,10773,8.65
