variant,cell,seed,rep,cpu,iters,uncovered,wall
p3 +shared sphere,"K8(9,4)",2,0,13.802,50,10250,13.8
p5 +hugepages,"K8(9,4)",1,1,4.882,50,10345,4.88
p1 walk+hoist,"K6(8,4)",2,1,4.335,600,21,4.34
p5+prefetch,"K6(8,4)",2,1,0.999,600,21,1.0
p5 +hugepages,"K6(6,3)",2,0,1.298,20000,24,1.3
p4 +uncov. list,"K8(9,4)",3,0,4.737,50,10275,4.74
p5+prefetch,"K6(8,4)",3,1,0.984,600,19,0.98
p4 +uncov. list,"K6(8,4)",3,0,0.995,600,19,0.99
p2 +uint8 state,"K6(6,3)",2,1,2.287,20000,24,2.29
p5 +hugepages,"K6(6,3)",3,2,1.333,20000,25,1.33
base,"K8(9,4)",3,0,28.438,50,10275,28.44
p5 +hugepages,"K6(8,4)",3,2,0.998,600,19,1.0
p2b 2-bit state,"K6(8,4)",1,1,4.104,600,25,4.1
p1 walk+hoist,"K6(6,3)",2,0,2.157,20000,24,2.16
p4 +uncov. list,"K8(9,4)",2,1,4.651,50,10250,4.65
p2b 2-bit state,"K6(6,3)",2,1,3.575,20000,24,3.57
base,"K8(9,4)",2,0,27.31,50,10250,27.31
p2 +uint8 state,"K8(9,4)",3,0,16.621,50,10275,16.62
p2 +uint8 state,"K6(8,4)",3,1,3.288,600,19,3.29
p4 +uncov. list,"K6(6,3)",3,1,1.317,20000,25,1.32
base,"K8(9,4)",1,1,27.782,50,10345,27.78
p3 +shared sphere,"K6(6,3)",3,0,2.181,20000,25,2.18
p3 +shared sphere,"K6(6,3)",2,0,2.188,20000,24,2.19
p1 walk+hoist,"K6(6,3)",1,2,2.114,20000,26,2.11
p3 +shared sphere,"K6(6,3)",3,1,2.183,20000,25,2.18
p2b 2-bit state,"K6(6,3)",3,1,3.556,20000,25,3.56
p1 walk+hoist,"K6(8,4)",2,2,4.07,600,21,4.07
p2b 2-bit state,"K6(8,4)",1,0,4.093,600,25,4.09
p2 +uint8 state,"K6(6,3)",3,1,2.264,20000,25,2.26
p5+prefetch,"K6(8,4)",2,0,0.969,600,21,0.97
base,"K6(8,4)",1,0,5.161,600,25,5.16
p2b 2-bit state,"K8(9,4)",2,0,10.813,50,10250,10.81
p4 +uncov. list,"K6(6,3)",3,2,1.334,20000,25,1.33
p5+prefetch,"K8(9,4)",1,0,4.887,50,10345,4.89
p2 +uint8 state,"K6(8,4)",1,0,3.261,600,25,3.26
p2 +uint8 state,"K8(9,4)",2,0,15.821,50,10250,15.82
p5 +hugepages,"K6(6,3)",3,0,1.315,20000,25,1.31
base,"K6(6,3)",3,0,2.862,20000,25,2.86
p3 +shared sphere,"K6(8,4)",3,2,2.889,600,19,2.89
p1 walk+hoist,"K8(9,4)",3,0,22.199,50,10275,22.2
p2 +uint8 state,"K6(6,3)",3,2,2.246,20000,25,2.25
p5+prefetch,"K8(9,4)",1,1,4.709,50,10345,4.71
base,"K6(6,3)",1,0,2.845,20000,26,2.85
p1 walk+hoist,"K6(8,4)",3,0,4.173,600,19,4.17
p3 +shared sphere,"K6(8,4)",1,0,2.729,600,25,2.73
base,"K6(6,3)",1,2,2.831,20000,26,2.83
p4 +uncov. list,"K6(8,4)",2,2,0.943,600,21,0.94
p5 +hugepages,"K6(8,4)",3,1,0.956,600,19,0.96
p2 +uint8 state,"K6(8,4)",3,2,3.257,600,19,3.26
base,"K6(8,4)",1,2,5.402,600,25,5.4
base,"K8(9,4)",3,1,27.255,50,10275,27.26
p2b 2-bit state,"K6(8,4)",2,0,4.058,600,21,4.06
p2b 2-bit state,"K6(6,3)",1,0,3.532,20000,26,3.53
p1 walk+hoist,"K6(6,3)",3,2,2.152,20000,25,2.15
p1 walk+hoist,"K8(9,4)",3,1,23.544,50,10275,23.54
base,"K6(8,4)",1,1,5.207,600,25,5.21
p5 +hugepages,"K8(9,4)",2,1,4.706,50,10250,4.71
p5 +hugepages,"K6(6,3)",2,1,1.298,20000,24,1.3
base,"K6(8,4)",3,2,5.235,600,19,5.23
p5+prefetch,"K6(6,3)",1,2,1.339,20000,26,1.34
base,"K8(9,4)",1,0,29.357,50,10345,29.36
p2b 2-bit state,"K6(8,4)",2,2,4.116,600,21,4.12
p5+prefetch,"K6(6,3)",3,2,1.336,20000,25,1.34
p4 +uncov. list,"K6(8,4)",1,0,0.979,600,25,0.98
p2 +uint8 state,"K6(6,3)",2,0,2.279,20000,24,2.28
base,"K6(6,3)",1,1,2.824,20000,26,2.82
p5 +hugepages,"K6(8,4)",1,1,0.966,600,25,0.97
base,"K6(8,4)",2,0,5.228,600,21,5.23
p5 +hugepages,"K6(6,3)",2,2,1.301,20000,24,1.3
p5 +hugepages,"K6(8,4)",3,0,0.976,600,19,0.98
p4 +uncov. list,"K6(6,3)",2,2,1.301,20000,24,1.3
p1 walk+hoist,"K8(9,4)",1,1,25.636,50,10345,25.64
p3 +shared sphere,"K6(8,4)",2,1,2.787,600,21,2.79
p1 walk+hoist,"K6(8,4)",1,2,4.192,600,25,4.19
p4 +uncov. list,"K6(8,4)",1,1,0.962,600,25,0.96
base,"K6(6,3)",3,1,2.872,20000,25,2.87
p1 walk+hoist,"K8(9,4)",2,1,24.647,50,10250,24.65
p5 +hugepages,"K6(6,3)",3,1,1.322,20000,25,1.32
p5 +hugepages,"K8(9,4)",3,1,4.973,50,10275,4.97
p1 walk+hoist,"K6(6,3)",1,0,2.142,20000,26,2.14
p1 walk+hoist,"K6(6,3)",3,0,2.126,20000,25,2.13
p1 walk+hoist,"K6(6,3)",3,1,2.15,20000,25,2.15
p5+prefetch,"K6(8,4)",1,0,0.996,600,25,1.0
base,"K6(6,3)",2,0,2.883,20000,24,2.88
p2 +uint8 state,"K8(9,4)",2,1,17.123,50,10250,17.12
p3 +shared sphere,"K6(6,3)",2,1,2.2,20000,24,2.2
p5 +hugepages,"K8(9,4)",1,0,5.084,50,10345,5.08
p2b 2-bit state,"K8(9,4)",3,1,11.121,50,10275,11.12
p5+prefetch,"K8(9,4)",2,0,4.693,50,10250,4.69
p2b 2-bit state,"K6(8,4)",1,2,4.107,600,25,4.11
p1 walk+hoist,"K8(9,4)",2,0,21.934,50,10250,21.93
p1 walk+hoist,"K6(6,3)",1,1,2.132,20000,26,2.13
p2b 2-bit state,"K8(9,4)",1,0,9.963,50,10345,9.96
p5+prefetch,"K6(8,4)",1,2,0.994,600,25,0.99
p2 +uint8 state,"K6(6,3)",2,2,2.282,20000,24,2.28
p3 +shared sphere,"K6(6,3)",1,0,2.168,20000,26,2.17
base,"K6(8,4)",2,2,5.273,600,21,5.27
p3 +shared sphere,"K6(8,4)",3,0,2.845,600,19,2.85
p2 +uint8 state,"K6(6,3)",3,0,2.286,20000,25,2.29
p5 +hugepages,"K8(9,4)",3,0,4.147,50,10275,4.15
p2 +uint8 state,"K8(9,4)",1,1,14.175,50,10345,14.18
p2 +uint8 state,"K8(9,4)",3,1,13.512,50,10275,13.51
p4 +uncov. list,"K6(8,4)",2,1,0.985,600,21,0.98
p5 +hugepages,"K6(8,4)",2,2,0.963,600,21,0.96
p4 +uncov. list,"K6(6,3)",1,2,1.34,20000,26,1.34
p4 +uncov. list,"K6(6,3)",2,0,1.292,20000,24,1.29
p1 walk+hoist,"K8(9,4)",1,0,21.193,50,10345,21.19
p5 +hugepages,"K6(8,4)",2,1,0.954,600,21,0.95
p5+prefetch,"K8(9,4)",3,1,3.895,50,10275,3.9
p4 +uncov. list,"K6(8,4)",1,2,0.961,600,25,0.96
p5+prefetch,"K6(8,4)",3,2,0.963,600,19,0.96
p3 +shared sphere,"K6(8,4)",3,1,2.774,600,19,2.77
