cell,variant,seed,target,budget,ttt_cpu,ttt_it,cpu,iters,best,wall
"K6(6,3)",p5+wide,20,10,45,-1.0,-1,45.001,700624,21,45.0
"K6(8,4)",p5+upick,16,20,90,5.9527,3396,5.953,3396,20,5.95
"K6(6,3)",p5+wide,8,10,45,-1.0,-1,45.001,756848,13,45.0
"K6(8,4)",p5+wide,12,20,90,0.5102,291,0.51,291,20,0.51
"K8(9,4)",p5,14,10800,100,4.3769,30,4.377,30,10797,4.38
"K6(8,4)",p5,16,20,90,1.1478,675,1.148,675,20,1.15
"K6(8,4)",p5,10,20,90,1.7281,988,1.728,988,20,1.73
"K8(9,4)",p5,18,10800,100,4.6685,31,4.669,31,10774,4.67
"K6(6,3)",p5+upick,4,10,45,-1.0,-1,45.0,534704,48,45.0
"K8(9,4)",p5,8,10800,100,4.3402,29,4.34,29,10790,4.34
"K6(8,4)",p5+wide,5,20,90,0.7113,371,0.711,371,20,0.71
"K6(6,3)",p5,13,10,45,-1.0,-1,45.0,748608,14,45.0
"K8(9,4)",base,10,10800,100,22.0056,28,22.006,28,10794,22.01
"K6(6,3)",p5+upick,15,10,45,-1.0,-1,45.001,534576,59,45.0
"K8(9,4)",p5,17,10800,100,4.622,31,4.622,31,10778,4.62
"K6(8,4)",p5+ucache,7,20,90,1.2043,680,1.204,680,20,1.2
"K6(8,4)",p5+ucache,18,20,90,0.8976,508,0.898,508,20,0.9
"K6(8,4)",p5,2,20,90,1.1922,677,1.192,677,20,1.19
"K6(8,4)",p5+upick,5,20,90,2.232,1282,2.232,1282,19,2.23
"K6(8,4)",p5+wide,18,20,90,0.7282,386,0.728,386,20,0.73
"K6(8,4)",p5+ucache,10,20,90,0.5102,291,0.51,291,20,0.51
"K6(6,3)",p5+wide,5,10,45,19.4611,298706,19.461,298706,10,19.46
"K8(9,4)",base,2,10800,100,22.6633,28,22.663,28,10793,22.66
"K6(6,3)",p5+wide,1,10,45,-1.0,-1,45.001,727120,14,45.0
"K6(8,4)",p5+fix0,17,20,90,1.3101,735,1.31,735,19,1.31
"K6(6,3)",p5,18,10,45,0.5658,8104,0.566,8104,10,0.57
"K6(8,4)",base,8,20,90,2.9511,310,2.951,310,20,2.95
"K6(6,3)",p5+fix0,18,10,45,19.708,316543,19.708,316543,10,19.71
"K8(9,4)",p5+wide,2,10800,100,3.2675,22,3.267,22,10783,3.27
"K6(8,4)",base,13,20,90,6.5018,684,6.502,684,20,6.5
"K6(6,3)",base,3,10,45,11.8376,82735,11.838,82735,10,11.84
"K6(6,3)",p5+wide,9,10,45,-1.0,-1,45.001,719568,16,45.0
"K8(9,4)",base,11,10800,100,22.9422,28,22.942,28,10794,22.94
"K8(9,4)",p5+wide,8,10800,100,2.8757,22,2.876,22,10789,2.88
"K6(6,3)",p5,9,10,45,-1.0,-1,45.001,750944,14,45.0
"K6(6,3)",base,12,10,45,-1.0,-1,45.002,308864,14,45.0
"K6(6,3)",p5,14,10,45,0.6128,9227,0.613,9227,10,0.61
