variant,cell,seed,rep,cpu,iters,uncovered,wall
p2b 2-bit state,"K6(6,3)",3,0,3.551,20000,25,3.55
p5 +hugepages,"K6(6,3)",1,2,1.323,20000,26,1.32
p4 +uncov. list,"K8(9,4)",2,1,6.76,50,10250,6.82
p4 +uncov. list,"K6(8,4)",3,2,0.987,600,19,0.99
base,"K6(6,3)",2,2,2.896,20000,24,2.9
p4 +uncov. list,"K6(8,4)",1,0,0.996,600,25,1.0
p2 +uint8 state,"K8(9,4)",2,0,24.039,50,10250,24.11
p5 +hugepages,"K6(8,4)",1,1,0.998,600,25,1.0
p5 +hugepages,"K8(9,4)",1,0,6.821,50,10345,6.86
p5+prefetch,"K6(8,4)",3,1,1.003,600,19,1.0
p4 +uncov. list,"K8(9,4)",3,0,6.411,50,10275,6.43
p2 +uint8 state,"K6(6,3)",3,2,2.253,20000,25,2.25
base,"K6(6,3)",1,2,2.894,20000,26,2.9
p3 +shared sphere,"K6(6,3)",1,2,2.194,20000,26,2.2
p3 +shared sphere,"K8(9,4)",1,0,19.745,50,10345,19.87
p2b 2-bit state,"K6(6,3)",3,1,3.541,20000,25,3.55
p5 +hugepages,"K6(8,4)",3,1,1.049,600,19,1.06
p5b 2-bit+shared,"K6(8,4)",2,0,0.879,600,21,0.88
p5+prefetch,"K8(9,4)",2,1,6.77,50,10250,6.82
p4 +uncov. list,"K6(8,4)",3,1,1.04,600,19,1.05
p1 walk+hoist,"K6(6,3)",2,2,2.162,20000,24,2.2
p4 +uncov. list,"K6(6,3)",2,1,1.299,20000,24,1.3
base,"K6(8,4)",1,1,5.559,600,25,5.6
p5 +hugepages,"K6(8,4)",2,2,1.027,600,21,1.03
p2b 2-bit state,"K8(9,4)",1,1,16.613,50,10345,16.64
p5b 2-bit+shared,"K6(8,4)",1,1,0.868,600,25,0.87
p1 walk+hoist,"K6(8,4)",2,0,4.349,600,21,4.37
p2b 2-bit state,"K6(8,4)",1,1,4.207,600,25,4.24
p3 +shared sphere,"K8(9,4)",1,1,20.092,50,10345,20.11
p5 +hugepages,"K6(6,3)",2,0,1.287,20000,24,1.29
p5 +hugepages,"K8(9,4)",2,0,6.618,50,10250,6.62
p5 +hugepages,"K8(9,4)",3,1,6.376,50,10275,6.38
base,"K6(8,4)",3,0,5.552,600,19,5.61
p5+prefetch,"K8(9,4)",1,0,6.54,50,10345,6.54
p5 +hugepages,"K6(6,3)",3,2,1.332,20000,25,1.36
p5b 2-bit+shared,"K6(8,4)",2,1,0.868,600,21,0.87
p1 walk+hoist,"K8(9,4)",1,0,40.173,50,10345,40.18
p3 +shared sphere,"K8(9,4)",3,1,21.64,50,10275,21.64
base,"K8(9,4)",2,0,48.705,50,10250,48.73
p1 walk+hoist,"K6(6,3)",2,0,2.165,20000,24,2.17
p1 walk+hoist,"K6(8,4)",1,0,4.434,600,25,4.43
p2b 2-bit state,"K6(6,3)",2,1,3.553,20000,24,3.55
p5b 2-bit+shared,"K8(9,4)",3,1,5.755,50,10275,5.76
p2b 2-bit state,"K8(9,4)",1,0,23.988,50,10345,23.99
p2 +uint8 state,"K8(9,4)",1,0,34.291,50,10345,34.33
p1 walk+hoist,"K6(8,4)",3,1,4.281,600,19,4.28
p4 +uncov. list,"K6(6,3)",3,1,1.307,20000,25,1.31
p3 +shared sphere,"K6(8,4)",3,0,2.889,600,19,2.89
p2b 2-bit state,"K8(9,4)",2,1,23.315,50,10250,23.32
base,"K6(8,4)",2,1,5.817,600,21,5.82
p5+prefetch,"K6(6,3)",3,1,1.323,20000,25,1.32
p2 +uint8 state,"K6(6,3)",2,1,2.266,20000,24,2.27
base,"K6(8,4)",2,2,6.23,600,21,6.24
p5b 2-bit+shared,"K6(6,3)",3,0,1.353,20000,25,1.35
p1 walk+hoist,"K8(9,4)",2,0,40.979,50,10250,41.02
p2 +uint8 state,"K6(6,3)",1,0,2.247,20000,26,2.25
p2 +uint8 state,"K6(8,4)",3,2,3.51,600,19,3.51
p3 +shared sphere,"K8(9,4)",3,0,28.182,50,10275,28.23
