DONE q=18 n=7 R=3 rc=0 prec=200 :: q=18 n=7 R=3  certified SDP value 42154799428.062248  cube root 3480.291940  => K >= 3481   (phase=pdOPT theta=0.9999994257557709)
DONE q=9 n=10 R=3 rc=0 prec=200 :: q=9 n=10 R=3  certified SDP value 162532680895094.312500  cube root 54573.302133  => K >= 54574   (phase=pdOPT theta=0.9985375990609029)
DONE q=13 n=8 R=3 rc=0 prec=200 :: q=13 n=8 R=3  certified SDP value 549943391275.043701  cube root 8192.931601  => K >= 8193   (phase=pdOPT theta=0.999994020533773)
DONE q=15 n=8 R=3 rc=0 prec=200 :: q=15 n=8 R=3  certified SDP value 4277341498278.128418  cube root 16232.720407  => K >= 16233   (phase=pdOPT theta=0.9999463730469316)
DONE q=12 n=8 R=3 rc=0 prec=200 :: q=12 n=8 R=3  certified SDP value 176048479842.857727  cube root 5604.593169  => K >= 5605   (phase=pdOPT theta=0.9999976170163727)
DONE q=10 n=8 R=2 rc=1 prec=200 :: certificate evaluation failed: ['d_0 = 191155022352817385810401593498643068394191403739513584827236352/95780971304118053647396689196894323976171195136475136 >= 0, bound is not positive']
DONE q=16 n=8 R=3 rc=0 prec=200 :: q=16 n=8 R=3  certified SDP value 10844959069170.146484  cube root 22134.818867  => K >= 22135   (phase=pdOPT theta=0.9997655199651945)
DONE q=9 n=8 R=2 rc=0 prec=200 :: q=9 n=8 R=2  certified SDP value 13214374021726.685547  cube root 23641.890326  => K >= 23642   (phase=pdOPT theta=0.9999449366379416)
DONE q=5 n=8 R=2 rc=0 prec=200 :: q=5 n=8 R=2  certified SDP value 636348527.469009  cube root 860.131820  => K >= 861   (phase=pdOPT theta=1.0)
DONE q=9 n=9 R=2 rc=0 prec=200 :: q=9 n=9 R=2  certified SDP value 4516380886671085.000000  cube root 165296.447621  => K >= 165297   (phase=pdOPT theta=1.0)
DONE q=6 n=9 R=2 rc=0 prec=200 :: q=6 n=9 R=2  certified SDP value 1318047585825.543213  cube root 10964.202045  => K >= 10965   (phase=pdOPT theta=1.0)
DONE q=6 n=10 R=3 rc=0 prec=200 :: q=6 n=10 R=3  certified SDP value 51753082390.194534  cube root 3726.593943  => K >= 3727   (phase=noINFO theta=-2.0)
REROUND 7 10 2 rc=0 q=7 n=10 R=2  certified SDP value 4967944935201822.000000  cube root 170631.388366  => K >= 170632   (phase=pdOPT theta=1.0)
REROUND 21 8 3 rc=0 q=21 n=8 R=3  certified SDP value 563455132424261.500000  cube root 82594.877436  => K >= 82595   (phase=pdOPT theta=1.0)
REROUND 17 8 3 rc=0 q=17 n=8 R=3  certified SDP value 26068635045839.500000  cube root 29651.005863  => K >= 29652   (phase=pdOPT theta=1.0)
DONE q=14 n=6 R=2 rc=0 prec=200 :: q=14 n=6 R=2  certified SDP value 26029997635.023052  cube root 2963.634962  => K >= 2964   (phase=pdOPT theta=1.0)
DONE q=16 n=6 R=2 rc=0 prec=200 :: q=16 n=6 R=2  certified SDP value 121307713297.415665  cube root 4950.276668  => K >= 4951   (phase=pdOPT theta=1.0)
DONE q=13 n=6 R=2 rc=0 prec=200 :: q=13 n=6 R=2  certified SDP value 11130415850.862617  cube root 2232.734742  => K >= 2233   (phase=pdOPT theta=1.0)
DONE q=15 n=6 R=2 rc=0 prec=200 :: q=15 n=6 R=2  certified SDP value 57581629929.750748  cube root 3861.546937  => K >= 3862   (phase=pdOPT theta=1.0)
DONE q=17 n=6 R=2 rc=0 prec=200 :: q=17 n=6 R=2  certified SDP value 244740970517.960052  cube root 6255.118755  => K >= 6256   (phase=pdOPT theta=1.0)
DONE q=18 n=6 R=2 rc=0 prec=200 :: q=18 n=6 R=2  certified SDP value 475141755609.130859  cube root 7803.229846  => K >= 7804   (phase=pdOPT theta=1.0)
DONE q=19 n=6 R=2 rc=0 prec=200 :: q=19 n=6 R=2  certified SDP value 891175421360.982300  cube root 9623.234453  => K >= 9624   (phase=pdOPT theta=1.0)
DONE q=21 n=6 R=2 rc=0 prec=200 :: q=21 n=6 R=2  certified SDP value 2863876980829.185059  cube root 14200.973584  => K >= 14201   (phase=pdOPT theta=1.0)
DONE q=20 n=6 R=2 rc=0 prec=200 :: q=20 n=6 R=2  certified SDP value 1620259395999.089844  cube root 11745.229743  => K >= 11746   (phase=pdOPT theta=1.0)
DONE q=6 n=7 R=1 rc=0 prec=200 :: q=6 n=7 R=1  certified SDP value 470184984576.000000  cube root 7776.000000  => K >= 7776   (phase=pdOPT theta=1.0)
DONE q=11 n=7 R=2 rc=0 prec=200 :: q=11 n=7 R=2  certified SDP value 776686957562.049316  cube root 9192.112638  => K >= 9193   (phase=pdOPT theta=1.0)
DONE q=14 n=7 R=2 rc=0 prec=200 :: q=14 n=7 R=2  certified SDP value 25421955407087.617188  cube root 29403.767780  => K >= 29404   (phase=pdOPT theta=1.0)
DONE q=13 n=7 R=2 rc=0 prec=200 :: q=13 n=7 R=2  certified SDP value 8671805214689.104492  cube root 20544.859302  => K >= 20545   (phase=pdOPT theta=1.0)
DONE q=16 n=7 R=2 rc=0 prec=200 :: q=16 n=7 R=2  certified SDP value 177847097987934.437500  cube root 56236.151770  => K >= 56237   (phase=pdOPT theta=1.0)
DONE q=17 n=7 R=2 rc=0 prec=200 :: q=17 n=7 R=2  certified SDP value 431371257290463.750000  cube root 75558.570827  => K >= 75559   (phase=pdOPT theta=1.0)
DONE q=13 n=8 R=2 rc=0 prec=200 :: q=13 n=8 R=2  certified SDP value 7956013702275437.000000  cube root 199632.773656  => K >= 199633   (phase=pdOPT theta=1.0)
DONE q=12 n=8 R=2 rc=0 prec=200 :: q=12 n=8 R=2  certified SDP value 1960445800842712.500000  cube root 125155.982360  => K >= 125156   (phase=pdOPT theta=1.0)
DONE q=11 n=8 R=2 rc=0 prec=200 :: q=11 n=8 R=2  certified SDP value 429479007558804.125000  cube root 75447.927344  => K >= 75448   (phase=pdOPT theta=1.0)
DONE q=19 n=7 R=2 rc=0 prec=200 :: q=19 n=7 R=2  certified SDP value 2201097557389809.750000  cube root 130080.769480  => K >= 130081   (phase=pdOPT theta=1.0)
DONE q=20 n=7 R=2 rc=0 prec=200 :: q=20 n=7 R=2  certified SDP value 4674494998645309.000000  cube root 167203.321251  => K >= 167204   (phase=pdOPT theta=1.0)
DONE q=21 n=7 R=2 rc=0 prec=200 :: q=21 n=7 R=2  certified SDP value 9577426006056482.000000  cube root 212364.996647  => K >= 212365   (phase=pdOPT theta=1.0)
DONE q=18 n=7 R=2 rc=0 prec=200 :: q=18 n=7 R=2  certified SDP value 996123323830571.500000  cube root 99870.610116  => K >= 99871   (phase=pdOPT theta=1.0)
DONE q=10 n=10 R=3 rc=0 prec=200 :: q=10 n=10 R=3  certified SDP value 1341798408733096.750000  cube root 110296.675954  => K >= 110297   (phase=pdOPT theta=1.0)
DONE q=15 n=8 R=2 rc=0 prec=200 :: q=15 n=8 R=2  certified SDP value 98159168583203072.000000  cube root 461293.098484  => K >= 461294   (phase=pdOPT theta=1.0)
DONE q=14 n=8 R=2 rc=0 prec=200 :: q=14 n=8 R=2  certified SDP value 29192199413191880.000000  cube root 307908.921365  => K >= 307909   (phase=pdOPT theta=1.0)
DONE q=16 n=8 R=2 rc=0 prec=200 :: q=16 n=8 R=2  certified SDP value 305803457327468928.000000  cube root 673722.105210  => K >= 673723   (phase=pdOPT theta=1.0)
DONE q=17 n=8 R=2 rc=0 prec=200 :: q=17 n=8 R=2  certified SDP value 890679708782178816.000000  cube root 962144.982702  => K >= 962145   (phase=pdOPT theta=1.0)
DONE q=18 n=8 R=2 rc=0 prec=200 :: q=18 n=8 R=2  certified SDP value 2443631399970068992.000000  cube root 1346930.639955  => K >= 1346931   (phase=pdOPT theta=1.0)
DONE q=19 n=8 R=2 rc=0 prec=200 :: q=19 n=8 R=2  certified SDP value 6355219046772817920.000000  cube root 1852295.086486  => K >= 1852296   (phase=pdOPT theta=1.0)
DONE q=6 n=8 R=1 rc=0 prec=200 :: q=6 n=8 R=1  certified SDP value 71784327522324.437500  cube root 41560.096321  => K >= 41561   (phase=pdOPT theta=1.0)
DONE q=21 n=8 R=2 rc=0 prec=200 :: q=21 n=8 R=2  certified SDP value 37381278742694436864.000000  cube root 3343628.753065  => K >= 3343629   (phase=pdOPT theta=1.0)
RETRY 6 10 3 lstar=1.0E2 OK q=6 n=10 R=3  certified SDP value 56420992284.511337  cube root 3835.425694  => K >= 3836   (phase=pdOPT theta=1.0)
DONE q=20 n=8 R=2 rc=0 prec=200 :: q=20 n=8 R=2  certified SDP value 15752056753460297728.000000  cube root 2506758.075092  => K >= 2506759   (phase=pdOPT theta=1.0)
DONE q=10 n=10 R=4 rc=0 prec=200 :: q=10 n=10 R=4  certified SDP value 330635970669.714966  cube root 6914.859600  => K >= 6915   (phase=pdOPT theta=1.0)
DONE q=6 n=9 R=3 rc=0 prec=200 :: q=6 n=9 R=3  certified SDP value 792470499.517220  cube root 925.396178  => K >= 926   (phase=pdOPT theta=1.0)
DONE q=8 n=9 R=4 rc=0 prec=200 :: q=8 n=9 R=4  certified SDP value 78594541.231205  cube root 428.348708  => K >= 429   (phase=pdOPT theta=1.0)
REROUND 9 10 3 rc=0 q=9 n=10 R=3  certified SDP value 162770716944411.312500  cube root 54599.930781  => K >= 54600   (phase=pdOPT theta=1.0)
DONE q=7 n=8 R=3 rc=0 prec=200 :: q=7 n=8 R=3  certified SDP value 104090343.814129  cube root 470.403070  => K >= 471   (phase=pdOPT theta=1.0)
DONE q=8 n=8 R=3 rc=0 prec=200 :: q=8 n=8 R=3  certified SDP value 625541559.122937  cube root 855.234850  => K >= 856   (phase=pdOPT theta=1.0)
DONE q=9 n=9 R=4 rc=0 prec=200 :: q=9 n=9 R=4  certified SDP value 375202303.399135  cube root 721.254438  => K >= 722   (phase=pdOPT theta=1.0)
REROUND 7 9 2 rc=0 q=7 n=9 R=2  certified SDP value 28545639281567.390625  cube root 30561.870032  => K >= 30562   (phase=pdOPT theta=1.0)
DONE q=10 n=9 R=4 rc=0 prec=200 :: q=10 n=9 R=4  certified SDP value 1559429245.589797  cube root 1159.636540  => K >= 1160   (phase=pdOPT theta=1.0)
